teamID,city,country,year,metro_population,metro_population_lag3avg
ARI,Phoenix,US,2009,4151634,NA
ARI,Phoenix,US,2010,4080707,NA
ARI,Phoenix,US,2011,4150083,NA
ARI,Phoenix,US,2012,4210193,4127474.6666666665
ARI,Phoenix,US,2013,4268289,4146994.3333333335
ARI,Phoenix,US,2014,4337542,4209521.666666667
ARI,Phoenix,US,2015,4407915,4272008
ARI,Phoenix,US,2016,4486153,4337915.333333333
ARI,Phoenix,US,2017,4561038,4410536.666666667
ARI,Phoenix,US,2018,4673634,4485035.333333333
ARI,Phoenix,US,2019,4761603,4573608.333333333
ARI,Phoenix,US,2020,4860338,4665425
ARI,Phoenix,US,2021,4787811,4765191.666666667
ARI,Phoenix,US,2022,4864209,4803250.666666667
ARI,Phoenix,US,2023,4941206,4837452.666666667
ARI,Phoenix,US,2024,5028754,4864408.666666667
ATL,Atlanta,US,2009,5238994,NA
ATL,Atlanta,US,2010,5125113,NA
ATL,Atlanta,US,2011,5213854,NA
ATL,Atlanta,US,2012,5291701,5192653.666666667
ATL,Atlanta,US,2013,5379176,5210222.666666667
ATL,Atlanta,US,2014,5455053,5294910.333333333
ATL,Atlanta,US,2015,5535837,5375310
ATL,Atlanta,US,2016,5612777,5456688.666666667
ATL,Atlanta,US,2017,5700990,5534555.666666667
ATL,Atlanta,US,2018,5779463,5616534.666666667
ATL,Atlanta,US,2019,5862424,5697743.333333333
ATL,Atlanta,US,2020,5947008,5780959
ATL,Atlanta,US,2021,6026734,5862965
ATL,Atlanta,US,2022,6094752,5945388.666666667
ATL,Atlanta,US,2023,6176937,6022831.333333333
ATL,Atlanta,US,2024,6256377,6099474.333333333
BAL,Baltimore,US,2009,2669987,NA
BAL,Baltimore,US,2010,2683160,NA
BAL,Baltimore,US,2011,2697421,NA
BAL,Baltimore,US,2012,2715650,2683522.6666666665
BAL,Baltimore,US,2013,2734044,2698743.6666666665
BAL,Baltimore,US,2014,2753396,2715705
BAL,Baltimore,US,2015,2769818,2734363.3333333335
BAL,Baltimore,US,2016,2780873,2752419.3333333335
BAL,Baltimore,US,2017,2792050,2768029
BAL,Baltimore,US,2018,2793250,2780913.6666666665
BAL,Baltimore,US,2019,2796733,2788724.3333333335
BAL,Baltimore,US,2020,2800427,2794011
BAL,Baltimore,US,2021,2837237,2796803.3333333335
BAL,Baltimore,US,2022,2840005,2811465.6666666665
BAL,Baltimore,US,2023,2839409,2825889.6666666665
BAL,Baltimore,US,2024,2849436,2838883.6666666665
BOS,Boston,US,2009,4513934,NA
