name,id1,birth_date,birth_city,birth_state,birth_country,bats,throws,height_in,weight_lbs,hall_of_fame,seasons_played,career_ops,career_g,career_ab,career_h,career_hr,career_rbi,career_bb,career_war,tie_lahman_id,tie_name,relation
A. J. Jimenez,jimea001,1990-05-01,San Juan,,P.R.,R,R,72,195,,1,0.166,7,12,1,0,0,0,-0.25,jimej003,,Brother
Aaron Boone,boona001,1973-03-09,La Mesa,CA,USA,R,R,74,190,,12,0.865,1152,3871,1017,126,555,303,17.67,boonb001,Bob Boone,Son
Aaron Boone,boona001,1973-03-09,La Mesa,CA,USA,R,R,74,190,,12,0.865,1152,3871,1017,126,555,303,17.67,boonb002,Bret Boone,Brother
Aaron Boone,boona001,1973-03-09,La Mesa,CA,USA,R,R,74,190,,12,0.865,1152,3871,1017,126,555,303,17.67,boonr101,,Grandson
Aaron Holbert,holba001,1973-01-09,Torrance,CA,USA,R,R,72,160,,2,0.564,23,30,6,0,2,3,-0.44,holbr001,Ray Holbert,Brother
Aaron Rowand,rowaa001,1977-08-29,Portland,OR,USA,R,R,72,210,,11,0.766,1358,4374,1193,136,536,261,20.85,shiej002,,Cousin
Aaron Whitefield,whita102,1996-09-02,Brisbane,QLD,Australia,R,R,76,210,,2,0.0,8,12,0,0,0,0,-0.22,whitf102,Fred Whitfield,Brother
Adam LaRoche,laroa001,1979-11-06,Orange County,CA,USA,L,L,74,205,,12,0.964,1605,5593,1452,255,882,649,18.7,laroa002,Andy LaRoche,Brother
Adam LaRoche,laroa001,1979-11-06,Orange County,CA,USA,L,L,74,205,,12,0.964,1605,5593,1452,255,882,649,18.7,larod101,,Son
Addison Russell,russa101,1994-01-23,Pensacola,FL,USA,R,R,72,200,,5,0.704,615,1987,480,60,253,186,11.74,russl101,,Brother
Adonis Garcia,garca005,1985-04-12,Ciego de Ávila,Ciego de Ávila,Cuba,R,R,69,205,,3,0.714,244,896,239,29,110,36,-0.18,garca004,Amaury Garcia,Brother
Adrian Garrett,garra101,1943-01-03,Brooksville,FL,USA,L,R,75,185,,7,0.81,159,273,51,11,37,31,-0.08,garrw101,Wayne Garrett,Brother
Al Martin,marta002,1967-11-24,West Covina,CA,USA,L,L,74,220,,11,0.864,1232,4242,1172,132,485,390,7.82,marta008,Andy Marte,Father
Al Montreuil,monta103,1943-08-23,New Orleans,LA,USA,R,R,65,158,,1,0.258,5,11,1,0,0,1,-0.13,montr101,Ray Montgomery,Son
Alan Ashby,ashba002,1951-07-08,Long Beach,CA,USA,B,R,74,185,,17,0.681,1370,4123,1010,90,513,461,11.08,ashba003,,Uncle
Alejandro Osuna,osuna002,2002-10-10,Ahome,Sinaloa,México,L,L,69,185,,1,0.59,63,151,32,2,15,21,0.12,osuna003,,Uncle
Alejandro Osuna,osuna002,2002-10-10,Ahome,Sinaloa,México,L,L,69,185,,1,0.59,63,151,32,2,15,21,0.12,osunr001,,Uncle
Alex Cabrera,cabra001,1971-12-24,Caripito,Monagas,Venezuela,R,R,74,217,,1,0.799,31,80,21,5,14,4,0.38,cabrr001,Ramon Cabrera,Father
Alex Cora,coraa001,1975-10-18,Caguas,,P.R.,L,R,72,200,,14,0.723,1273,3408,828,35,286,248,7.83,coraj001,Joey Cora,Brother
Alex Diaz,diaza004,1968-10-05,Brooklyn,NY,USA,B,R,71,175,,8,0.594,366,816,195,8,75,33,-2.81,diaze006,Edgar Diaz,Brother
Alex Gonzalez,gonza003,1973-04-08,Miami,FL,USA,R,R,72,180,,13,0.761,1396,4977,1209,137,536,392,9.38,gonze003,Edgar Gonzalez,Brother
Alex Trevino,treva001,1957-08-26,Monterrey,Nuevo León,México,R,R,70,165,,13,0.743,939,2430,604,23,244,205,9.3,trevb101,Bobby Trevino,Brother
